text,position
"A disconnected downspout can be redirected into 
rain gardens, conservation landscaping, or a water 
harvesting system such as a rain barrel.","{'entities': [(15, 24, 'SUSTECH')]}"
"The greatest benefit of disconnecting a downspout 
is contributing to the overall health of your local 
waterways and the Chesapeake Bay.","{'entities': [(40, 49, 'SUSTECH')]}"
"Before disconnecting a downspout, consider the 
following guidelines for redirecting stormwater: 

 

1.","{'entities': [(23, 32, 'SUSTECH')]}"
"The downspout should redirect stormwater 
away from the building a minimum of 5 feet 
from homes with crawlspaces or 10 feet for 
homes with basements.","{'entities': [(4, 13, 'SUSTECH')]}"
"The downspout must be directed to 

pervious surfaces such as a yard, garden, 
forest, or conservation landscape with no 
greater than 5% slope (equal to a 6-inch rise 
over 10-foot run).","{'entities': [(4, 13, 'SUSTECH')]}"
: Cut the existing downspout,"{'entities': [(19, 28, 'SUSTECH')]}"
"To redirect the stormwater from the vertical pipe, 
the first step is to cut the existing downspout pipe.","{'entities': [(90, 99, 'SUSTECH')]}"
"Metal screws or adhesive, standpipe cap, 
downspout elbow and extension, splash pad or 
loose rocks.","{'entities': [(42, 51, 'SUSTECH')]}"
How to Disconnect a Downspout,"{'entities': [(20, 29, 'SUSTECH')]}"
"First, obtain and complete any applications, plans, 
reviews, and permits from the local government, 
homeowners association, or regulating authority for 
the downspout disconnection practice.","{'entities': [(159, 168, 'SUSTECH')]}"
"Measure nine inches above where the 

downspout pipe enters the ground at the 
standpipe (Figure 1).","{'entities': [(38, 47, 'SUSTECH')]}"
"Using a hacksaw, cut the downspout.","{'entities': [(25, 34, 'SUSTECH')]}"
"There are various methods to 
redirect the stormwater, including: similar 
downspout pipe material, plastic hoses, or a flexible 
extension.","{'entities': [(75, 84, 'SUSTECH')]}"
"If necessary, crimp the current downspout 
to slide on the new elbow or extension;","{'entities': [(32, 41, 'SUSTECH')]}"
"http://stormwater.allianceforthebay.org/take-
action/structural-bmps/downspout-disconnect/","{'entities': [(69, 78, 'SUSTECH')]}"
"Krisztian Varsa (kvarsa@umd.edu), Jennifer Dindinger (jdinding@umd.edu), Amanda Rockler 
(arockler@umd.edu), Jacqueline Takacs (takacs@mdsg.umd.edu) 

Slow it Down and Soak it In: Disconnecting and Redirecting Your Downspouts  

), is a series of publications of the University of Maryland 
Extension and the Watershed Protection and Restoration Program.","{'entities': [(215, 225, 'SUSTECH')]}"
Effectiveness and applicability of flood barriers for risk mitigation in flash-,"{'entities': [(35, 49, 'SUSTECH')]}"
"3.1.2 Geodesign Barriers 

3 Materials: flood barriers","{'entities': [(40, 54, 'SUSTECH')]}"
"3.1 Features of flood barriers 

3.1.1 Flood Panel(cid:4)

(cid:25)(cid:15)(cid:6)(cid:4) (cid:27)(cid:5)(cid:12)(cid:14)(cid:13)(cid:7)(cid:8)(cid:11)(cid:4) (cid:12)(cid:20)(cid:4)","{'entities': [(16, 30, 'SUSTECH')]}"
"The  temporary 
flood protection system therefore includes: 

the barrier or flood protection product(s); 

the seals and joints between the elements within the temporary flood barrier; 

the interaction between the structure and the underlying surface; 

the  end  connections  to  either  adjacent  high  ground  or  permanent  defence","{'entities': [(171, 184, 'SUSTECH')]}"
"trials  of 
temporary flood barriers during the February 2004 floods.","{'entities': [(22, 36, 'SUSTECH')]}"
verify the adequacy and condition of the flood barriers and emergency procedures.,"{'entities': [(41, 55, 'SUSTECH')]}"
"In all situations, it is important to ensure that the area where the flood barrier is to be 
erected is clear.","{'entities': [(69, 82, 'SUSTECH')]}"
"An Alternative Solution, Evaluation 
of Temporary Flood Barriers During the February 2004 Flood","{'entities': [(50, 64, 'SUSTECH')]}"
"the
Alteau Flood Barrier rises 
automatically up to a maximum 
height of 1.2 metres and lengths 
of several hundred metres.","{'entities': [(11, 24, 'SUSTECH')]}"
"The culmination of more than two 
years testing and development, the 
flood barrier is the third evolution of 
the flood defence principle that has 
been in use for seven years.","{'entities': [(70, 83, 'SUSTECH')]}"
Alteau Flood Barrier,"{'entities': [(7, 20, 'SUSTECH')]}"
"Each flood barrier module 
consists of two boards in compact 
flat packs.","{'entities': [(5, 18, 'SUSTECH')]}"
"Each flood barrier module 
consists of two boards in compact 
flat packs.","{'entities': [(5, 18, 'SUSTECH')]}"
"Removable multi panel lip seal 
flood barrier","{'entities': [(32, 45, 'SUSTECH')]}"
"Collapsible flood barrier fencing  
stored under panels in the quay / 
riverbank.","{'entities': [(12, 25, 'SUSTECH')]}"
"Flood Barriers Ltd.
Unit 4","{'entities': [(0, 14, 'SUSTECH')]}"
"Water tight doors, flood barriers 
and hatches.","{'entities': [(19, 33, 'SUSTECH')]}"
"Flood Barrier Projects undertaken by Hesco Bastion for the following organisations:  
•  Environment Agency – East Coast Railway Line,","{'entities': [(0, 13, 'SUSTECH')]}"
"Emergency Flood Barrier – New Orleans, USA","{'entities': [(10, 23, 'SUSTECH')]}"
"Fact Sheets 

CONTAINERS – IMPERMEABLE 
FLOODSTOP (MODULAR FLOOD BARRIER)","{'entities': [(60, 73, 'SUSTECH')]}"
FLOODSTOP Modular Flood Barrier,"{'entities': [(18, 31, 'SUSTECH')]}"
"Fact Sheets 

CONTAINERS – IMPERMEABLE 
FLOODSTOP (MODULAR FLOOD BARRIER)","{'entities': [(60, 73, 'SUSTECH')]}"
"Fact Sheets 

CONTAINERS – IMPERMEABLE 
FLOODSTOP (MODULAR FLOOD BARRIER)","{'entities': [(60, 73, 'SUSTECH')]}"
"Fact Sheets 

CONTAINERS – IMPERMEABLE 
FLOODSTOP (MODULAR FLOOD BARRIER)","{'entities': [(60, 73, 'SUSTECH')]}"
"Fact Sheets 

CONTAINERS – IMPERMEABLE 
FLOODSTOP (MODULAR FLOOD BARRIER)","{'entities': [(60, 73, 'SUSTECH')]}"
"stop slippage, particularly for the temporary closure and protection of access breaks in permanent 
flood barriers.","{'entities': [(100, 114, 'SUSTECH')]}"
"the 
Pallet Barrier, the Board Barrier and the Steel Barrier, the overall name of the flood barrier system 
has been changed to Geodesign Barriers in the UK.","{'entities': [(86, 99, 'SUSTECH')]}"
L SERIES MODULAR DEMOUNTABLE FLOOD BARRIER SYSTEM,"{'entities': [(29, 42, 'SUSTECH')]}"
"L Series Modular Demountable Flood Barrier System 
 
Flood Control Ltd 
Torrington House, New Bridge, Gunnislake, Cornwall, PL18 9LH","{'entities': [(29, 42, 'SUSTECH')]}"
"This modular demountable flood barrier system builds up in 0.3m increments and can be used to 
defend  against  flood  depths  up  to  4.2m.","{'entities': [(25, 38, 'SUSTECH')]}"
L SERIES MODULAR DEMOUNTABLE FLOOD BARRIER SYSTEM,"{'entities': [(29, 42, 'SUSTECH')]}"
L SERIES MODULAR DEMOUNTABLE FLOOD BARRIER SYSTEM,"{'entities': [(29, 42, 'SUSTECH')]}"
L SERIES MODULAR DEMOUNTABLE FLOOD BARRIER SYSTEM,"{'entities': [(29, 42, 'SUSTECH')]}"
L SERIES MODULAR DEMOUNTABLE FLOOD BARRIER SYSTEM,"{'entities': [(29, 42, 'SUSTECH')]}"
"All of the Dutchdam flood barriers are (patented) designs under Copyright  
Corné Rijlaarsdam © 2000 – 2009","{'entities': [(20, 34, 'SUSTECH')]}"
"SELF CLOSING FLOOD BARRIER (SCFB) 
 

1.","{'entities': [(13, 26, 'SUSTECH')]}"
Self Closing Flood Barrier (SCFB),"{'entities': [(13, 26, 'SUSTECH')]}"
"Johann H.R. van den Noort 
 
UK Flood Barriers (UK Supplier) 
Unit 4, West Stone Berry Hill Industrial Estate, Droitwich, Worcestershire, WR9 9AS, UK","{'entities': [(32, 46, 'SUSTECH')]}"
"SELF CLOSING FLOOD BARRIER (SCFB) 
 

2.1","{'entities': [(13, 26, 'SUSTECH')]}"
SELF CLOSING FLOOD BARRIER (SCFB),"{'entities': [(13, 26, 'SUSTECH')]}"
"SELF CLOSING FLOOD BARRIER (SCFB) 
 

5.","{'entities': [(13, 26, 'SUSTECH')]}"
"This includes 
extensive ""Instructions on the Construction of the Self Closing Flood Barrier"".","{'entities': [(79, 92, 'SUSTECH')]}"
SELF CLOSING FLOOD BARRIER (SCFB),"{'entities': [(13, 26, 'SUSTECH')]}"
"SELF CLOSING FLOOD BARRIER (SCFB) 
 

7.4  New products or modifications under development.","{'entities': [(13, 26, 'SUSTECH')]}"
Green Roofs,"{'entities': [(0, 11, 'SUSTECH')]}"
"Green roofs, also known as “living roofs” or “rooftop gardens”, consist of a thin layer of 
vegetation and growing medium installed on top of a conventional flat or sloped roof","{'entities': [(0, 11, 'SUSTECH')]}"
"Green roofs are touted for their benefits to cities, as they improve energy 
efficiency, reduce urban heat island effects, and create greenspace for passive 
recreation or aesthetic enjoyment.","{'entities': [(0, 11, 'SUSTECH')]}"
"From a hydrologic 
perspective, the green roof acts like a lawn or meadow by storing rainwater in the 
growing medium and ponding areas.","{'entities': [(36, 46, 'SUSTECH')]}"
There are two types of green roofs: intensive and extensive.,"{'entities': [(23, 34, 'SUSTECH')]}"
"Intensive green roofs 
contain greater than 15 centimetres depth of growing medium, can be planted with 
deeply rooted plants and are designed to handle pedestrian traffic.","{'entities': [(10, 21, 'SUSTECH')]}"
"Roof structures 
supporting intensive green roofs require significantly greater load bearing capacity, 
thereby increasing their overall cost and complexity of design.","{'entities': [(38, 49, 'SUSTECH')]}"
"Guidance in this guide 
focuses on extensive green roof design.","{'entities': [(45, 55, 'SUSTECH')]}"
"Extensive green roofs consist of a thin layer of 
growing medium (15 centimetre depth or less) with a herbaceous vegetative cover.","{'entities': [(10, 21, 'SUSTECH')]}"
"Examples of green roofs 

  

 

  
Clockwise from top left:","{'entities': [(12, 23, 'SUSTECH')]}"
"Green roofs have multiple benefits including improved aesthetics in urban areas,","{'entities': [(0, 11, 'SUSTECH')]}"
"It is estimated that 
green roofs can extend the life of a roof by as long as 20 years by reducing 
exposure of the roofing materials to sun and precipitation (Velazquez, 2005).","{'entities': [(22, 33, 'SUSTECH')]}"
"Some 
municipalities, such as the City of Toronto, offer green roof incentive programs 
that should be considered in the cost assessment.","{'entities': [(57, 67, 'SUSTECH')]}"
"A study of the life cycle costs 
and savings of building and owning a green roof in the Greater Toronto Area was 
undertaken by TRCA (2007a).","{'entities': [(70, 80, 'SUSTECH')]}"
Green roofs are a feasible BMP for cold climates (Figure 4.2.2).,"{'entities': [(0, 11, 'SUSTECH')]}"
A green roof during winter,"{'entities': [(2, 12, 'SUSTECH')]}"
"Green roofs are physically feasible in most development situations, but should be 
planned at the time of building design.","{'entities': [(0, 11, 'SUSTECH')]}"
"Although the Ontario Building Code (2006) 
does not specifically address the construction of green roofs, requirements from 
the Building Code Act and Division B may apply to components of the 
construction.","{'entities': [(93, 104, 'SUSTECH')]}"
Roof Slope: Green roofs may be installed on roofs with slopes up to 10%.,"{'entities': [(12, 23, 'SUSTECH')]}"
"Green roofs are designed to capture 

precipitation falling directly onto the roof surface.","{'entities': [(0, 11, 'SUSTECH')]}"
"The ability of green roofs to help meet stormwater management objectives is 
summarized in Table 4.2.1.","{'entities': [(15, 26, 'SUSTECH')]}"
Table 4.2.1 Ability of green roofs to meet SWM objectives,"{'entities': [(23, 34, 'SUSTECH')]}"
Green Roofs,"{'entities': [(0, 11, 'SUSTECH')]}"
"Yes 

 
Water Balance  
Green roofs help achieve water balance objectives by reducing total annual runoff 
volumes.","{'entities': [(24, 35, 'SUSTECH')]}"
"Considerable research has been conducted in recent years to define the 
runoff reduction capacity of extensive green roofs.","{'entities': [(111, 122, 'SUSTECH')]}"
"Based on the prevailing climate for the region, a conservative runoff 
reduction rate for green roofs of 45 to 55% is recommended for initial screening of LID 
practices.","{'entities': [(90, 101, 'SUSTECH')]}"
"Monitoring results – green roof runoff reduction  

Location","{'entities': [(21, 31, 'SUSTECH')]}"
"Values represent total precipitation retained by the green roof over the monitoring period unless 

2.","{'entities': [(53, 63, 'SUSTECH')]}"
"Value represents reduction in runoff from the green roof relative to a reference roof, not relative to 

3.","{'entities': [(46, 56, 'SUSTECH')]}"
Based on summary of 18 different studies examining 121 extensive green roofs.,"{'entities': [(65, 76, 'SUSTECH')]}"
Value represents the median substrate depth from 121 extensive green roofs.,"{'entities': [(63, 74, 'SUSTECH')]}"
"Value represents the average runoff reduction as % of total annual precipitation, based on studies 

of 121 extensive green roofs.","{'entities': [(118, 129, 'SUSTECH')]}"
"Only a handful of monitoring studies have measured the pollutant removal performance 
of green roofs.","{'entities': [(89, 100, 'SUSTECH')]}"
"A TRCA study comparing conventional black roof runoff to green roof 
runoff in Toronto was completed in 2006.","{'entities': [(57, 67, 'SUSTECH')]}"
"The loading ‘percent difference’ values shown in the right column represent the 
difference in loading, expressed as a percentage, between unit area loads from the 
conventional roof and the green roof.","{'entities': [(191, 201, 'SUSTECH')]}"
Comparative pollutant load reductions for a green roof,"{'entities': [(44, 54, 'SUSTECH')]}"
"* 
(Conventional Roof vs. Green Roof)","{'entities': [(26, 36, 'SUSTECH')]}"
*Positive values indicate lower pollutant loadings from the green roof.,"{'entities': [(60, 70, 'SUSTECH')]}"
Negative values indicate higher pollutant loadings from the green roof.,"{'entities': [(60, 70, 'SUSTECH')]}"
"Other studies have also found higher concentrations of nutrients in green roof runoff 
that can be attributed to leaching from the growing medium (Hathaway et al.","{'entities': [(68, 78, 'SUSTECH')]}"
The use of a green roof will reduce the channel erosion control driven detention,"{'entities': [(13, 23, 'SUSTECH')]}"
"The benefits of green roofs reach beyond the specific stormwater management goals to 
other social and environmental benefits, including:","{'entities': [(16, 27, 'SUSTECH')]}"
"Environment Canada and the National Research Council of Canada (NRC) 
planted a green roof with juniper shrubs growing in thick soil.","{'entities': [(80, 90, 'SUSTECH')]}"
"Measurements showed that heat flow from the building with the 
green roof was reduced by more than 10 percent (Bass, 2005).","{'entities': [(63, 73, 'SUSTECH')]}"
"At the NRC 
Ottawa green roof, energy demand for air conditioning was reduced by 75% (Liu, 
2002).","{'entities': [(19, 29, 'SUSTECH')]}"
": Green roofs can reduce the urban heat island effect by 
cooling and humidifying the surrounding air.","{'entities': [(2, 13, 'SUSTECH')]}"
"Aesthetics and Habitat: With thoughtful design, green roofs can be aesthetically 
pleasing and can improve views from neighboring buildings.","{'entities': [(48, 59, 'SUSTECH')]}"
"The reduction in runoff 
volumes associated with green roofs can lessen the demand on existing 
downstream stormwater infrastructure, and, in the case of combined sewers, 
lower the frequency of overflows.","{'entities': [(49, 60, 'SUSTECH')]}"
"The green roof mitigates extreme 
temperatures and exposure to storms and extends the longevity of the roof 
structure.","{'entities': [(4, 14, 'SUSTECH')]}"
"Green roofs can be installed on many types of roofs (Figure 4.2.3), from small slanting 
residential roofs to large commercial roofs.","{'entities': [(0, 11, 'SUSTECH')]}"
"Sometimes only a portion of the roof is 
dedicated to a green roof.","{'entities': [(56, 66, 'SUSTECH')]}"
Figure 4.2.4  Schematic of a green roof,"{'entities': [(29, 39, 'SUSTECH')]}"
"Green roof layers 

Source:","{'entities': [(0, 10, 'SUSTECH')]}"
Green roofs are composed of multiple layers that include:,"{'entities': [(0, 11, 'SUSTECH')]}"
•  a roof structure capable of supporting the weight of a green roof system;,"{'entities': [(58, 68, 'SUSTECH')]}"
growing medium with appropriate characteristics to support selected green roof,"{'entities': [(68, 78, 'SUSTECH')]}"
"The load bearing capacity of the roof structure must be sufficient to support the soil and 
plants of the green roof assembly, as well as the live load associated with maintenance 
staff accessing the roof.","{'entities': [(106, 116, 'SUSTECH')]}"
"Generally, a green roof assembly weighing more than 80 
kilograms per square metre, when saturated, requires consultation with a structural 
engineer (Barr Engineering, 2003).","{'entities': [(13, 23, 'SUSTECH')]}"
Green roofs may be installed on roofs with slopes up to 10%.,"{'entities': [(0, 11, 'SUSTECH')]}"
"Materials used around roof openings should be non-leaching 
to prevent contamination of the green roof growing medium.","{'entities': [(92, 102, 'SUSTECH')]}"
"In a green roof system, the first layer above the roof surface is a waterproofing 
membrane.","{'entities': [(5, 15, 'SUSTECH')]}"
"another stormwater BMP such as a rain barrel, soakaway, bioretention area, swale or 
simply drain to a pervious area (i.e., downspout disconnection).","{'entities': [(124, 133, 'SUSTECH')]}"
"The sensitivity of the receiving water to which the green roof ultimately drains 
should be taken into consideration when selecting the growing medium mix.","{'entities': [(52, 62, 'SUSTECH')]}"
"Green roof 
growing media with less compost in the mix will have less leaching of nitrogen and 
phosphorus (Moran and Hunt, 2005).","{'entities': [(0, 10, 'SUSTECH')]}"
"There are 
also pre-cultivated vegetation blankets that are grown in a flexible growing medium 
structure, rather than a rigid structure, allowing them to be rolled out onto the underlying 
green roof assembly.","{'entities': [(190, 200, 'SUSTECH')]}"
"Other Design Resources 
Several other resources that provide useful design guidance for green roofs are: 
 

Canada Mortgage and Housing Corporation: Design Guidelines for Green","{'entities': [(88, 99, 'SUSTECH')]}"
"Green roofs reduce the effective impervious cover by providing a surface that 
hydrologically responds like a pervious area.","{'entities': [(0, 11, 'SUSTECH')]}"
"Green roofs are typically sized based on 
the available roof area, as opposed to treatment volume requirements.","{'entities': [(0, 11, 'SUSTECH')]}"
ASTM International released the following Green Roof standards in 2005:,"{'entities': [(42, 52, 'SUSTECH')]}"
"E2397-05 Standard Determination of Dead Loads and Live Loads associated 

Drainage Media; 

with Green Roof Systems;","{'entities': [(97, 107, 'SUSTECH')]}"
"E2398-05 Standard test method for water capture and media retention of 

geocomposite drain layers for green roof systems;","{'entities': [(103, 113, 'SUSTECH')]}"
Analysis of Green Roof Systems; and,"{'entities': [(12, 22, 'SUSTECH')]}"
"E2400-06 Standard Guide for Selection, Installation, and Maintenance of Plants 

for Green Roof Systems.","{'entities': [(85, 95, 'SUSTECH')]}"
"Although the Ontario Building Code (2006) does not specifically address the 
construction of green roofs, requirements from the Building Code Act and Division B 
may apply to components of the construction.","{'entities': [(93, 104, 'SUSTECH')]}"
"The 
installer must work with the construction contractor to ensure that the waterproofing 
membrane installed is appropriate for use under a green roof assembly.","{'entities': [(142, 152, 'SUSTECH')]}"
"Conventional 
green roof assemblies should be constructed in sections for easier inspection and 

 
4-33","{'entities': [(14, 24, 'SUSTECH')]}"
"Green roofs can be purchased 
as complete systems from specialized suppliers who distribute all the assembly 
components, including the waterproofing membrane.","{'entities': [(0, 11, 'SUSTECH')]}"
"Green roof maintenance is typically greatest in the first two years as plants are 
becoming established.","{'entities': [(0, 10, 'SUSTECH')]}"
Regular operation of a green roof includes:,"{'entities': [(23, 33, 'SUSTECH')]}"
"High soil moisture from unnecessary 
watering will reduce the runoff reduction benefits of the green roof.","{'entities': [(95, 105, 'SUSTECH')]}"
"This system, also 
used with traditional roofs, must be installed prior to the green roof.","{'entities': [(79, 89, 'SUSTECH')]}"
The estimated cost for extensive green roofs is $65 to $230 CAD per square meter,"{'entities': [(33, 44, 'SUSTECH')]}"
"While green roofs are initially more expensive than traditional roofs, their 
lifecycle costs may be comparable to traditional roofs, when energy savings and 
extended roof longevity are factored in (TRCA, 2007a).","{'entities': [(6, 17, 'SUSTECH')]}"
Green Roofs in Winter:,"{'entities': [(0, 11, 'SUSTECH')]}"
City of Toronto Green Roof Website.,"{'entities': [(16, 26, 'SUSTECH')]}"
"Quantifying the effect of slope on extensive 
green roof stormwater retention.","{'entities': [(46, 56, 'SUSTECH')]}"
Green Roof Project.,"{'entities': [(0, 10, 'SUSTECH')]}"
"A field study of green roof 
hydrologic and water quality performance, Transactions of the ASABE, Vol.","{'entities': [(17, 27, 'SUSTECH')]}"
Selecting a Green Roof Media to,"{'entities': [(12, 22, 'SUSTECH')]}"
Intensive and Extensive Green Roofs.,"{'entities': [(24, 35, 'SUSTECH')]}"
"Green roof as a tool for solving rainwater 
runoff problems in the urbanized 21st century?","{'entities': [(0, 10, 'SUSTECH')]}"
"Green roof hydrologic and water quality performance in 
North Carolina.","{'entities': [(0, 10, 'SUSTECH')]}"
Green Roof Technology Adapted to Cold,"{'entities': [(0, 10, 'SUSTECH')]}"
Design Guidelines for Green Roofs.,"{'entities': [(22, 33, 'SUSTECH')]}"
Green Roofs:,"{'entities': [(0, 11, 'SUSTECH')]}"
"Evaluation of Green Roofs for 
Runoff Retention, Runoff Quality and Leachability.","{'entities': [(14, 25, 'SUSTECH')]}"
GREEN ROOFS POLICY DOCUMENT,"{'entities': [(0, 11, 'SUSTECH')]}"
Green infrastructure and Green roofs ............................................................................................................................,"{'entities': [(25, 36, 'SUSTECH')]}"
The benefits of green roofs .............................................................................................................................................,"{'entities': [(16, 27, 'SUSTECH')]}"
The need for green roof policy ......................................................................................................................................,"{'entities': [(13, 23, 'SUSTECH')]}"
Developing green roof policy ........................................................................................................................................,"{'entities': [(11, 21, 'SUSTECH')]}"
Green roof policies worldwide ......................................................................................................................................,"{'entities': [(0, 10, 'SUSTECH')]}"
Local policies supporting green roof initiatives ............................................................................................................,"{'entities': [(26, 36, 'SUSTECH')]}"
Green roof policies for Malta ........................................................................................................................................,"{'entities': [(0, 10, 'SUSTECH')]}"
The Demonstration green roof - University of Malta  ........................................................,"{'entities': [(18, 28, 'SUSTECH')]}"
"Nevertheless, relying 
on the voluntary actions of the public to increase green roof cover might not be a feasible 
way  forward.","{'entities': [(74, 84, 'SUSTECH')]}"
Section 2 introduces the concept of green roofs as an element of green infrastructure.,"{'entities': [(36, 47, 'SUSTECH')]}"
Section 3 assesses the benefits of green roofs.,"{'entities': [(35, 46, 'SUSTECH')]}"
"As green infrastructure, green roof benefits 
are  plenty.","{'entities': [(25, 35, 'SUSTECH')]}"
Section 4 explores the need for a green roof policy for Malta.,"{'entities': [(34, 44, 'SUSTECH')]}"
Section 5 discusses briefly the policy objectives for green roofs.,"{'entities': [(54, 65, 'SUSTECH')]}"
"Section 9, looks at local planning and construction policies to identify whether they support 
green roof technology.","{'entities': [(95, 105, 'SUSTECH')]}"
"Some of these policy documents do specify the use of green roofs 
to combat climate change and other urban related issues, whereas other policies are more 
broad in nature giving the possibility of including other types of green infrastructure.","{'entities': [(53, 64, 'SUSTECH')]}"
"Although existing local policies do allow for the integration of green roofs within the urban 
fabric,  these  are  generally  of","{'entities': [(65, 76, 'SUSTECH')]}"
"the deliverables required  of the LifeMedGreenRoof project, 
which is an EU funded project under the Life+ Programmeme, in an effort to encourage the 
widespread use of green roof  technology throughout the Maltese territory.","{'entities': [(169, 179, 'SUSTECH')]}"
"this document is to highlight the benefits of green roofs and to provide a set of policies and 
suggestions  which","{'entities': [(46, 57, 'SUSTECH')]}"
Green infrastructure and Green roofs,"{'entities': [(25, 36, 'SUSTECH')]}"
The concept of green roofs is not new  at all.,"{'entities': [(15, 26, 'SUSTECH')]}"
"Evidence of green roofs have been traced, by archaeologists to ancient civilisations which 
include the Hanging Gardens of Babylon and the Ziggurat in  the 6th  century BC.","{'entities': [(12, 23, 'SUSTECH')]}"
"In the latter half of last 
century, green roofs started appearing in Germany and this phenomenon accelerated with 
the development of reliable technologies.","{'entities': [(37, 48, 'SUSTECH')]}"
"Initially green roofs were installed for their aesthetic appeal, insulation properties and the 
protection  of  roof  membranes  from  the  natural  elements.","{'entities': [(10, 21, 'SUSTECH')]}"
"Over  the  years,  additional 
benefits became apparent and today green roofs are considered an important element in","{'entities': [(66, 77, 'SUSTECH')]}"
"the  EU 
implementation  of  the  LifeMedGreenRoof  project,  with  the 
aim of testing the performance of green roofs within the local 
context  and  creating  a  baseline","{'entities': [(107, 118, 'SUSTECH')]}"
"For the past 3 years a team of dedicated researchers have undergone the relevant studies 
to establish the performance of green roofs and their potential in addressing urban related","{'entities': [(122, 133, 'SUSTECH')]}"
The benefits of green roofs,"{'entities': [(16, 27, 'SUSTECH')]}"
"Consequently, the role green roofs play as a means 
of introducing greenery in urban areas should not be underestimated.","{'entities': [(23, 34, 'SUSTECH')]}"
"Public green roofs can be utilised for 
community functions and organising special events.","{'entities': [(7, 18, 'SUSTECH')]}"
"The Demonstration green roof - University of 
Malta,   (A Gatt) 

 

8: 

 
the buildings’ external walls if they are exposed.","{'entities': [(18, 28, 'SUSTECH')]}"
"2014) have proved that green roofs can be effective in reducing both 
external ambient  temperatures and temperatures within  buildings.","{'entities': [(23, 34, 'SUSTECH')]}"
"Climate and micro-climatic conditions 

Because of evapotranspiration, green roofs,  are also known to lower the air temperature 
above them.","{'entities': [(71, 82, 'SUSTECH')]}"
Green roofs absorb and retain precipitation.,"{'entities': [(0, 11, 'SUSTECH')]}"
Additional water is also stored in the green roof depending on the type of drainage,"{'entities': [(39, 49, 'SUSTECH')]}"
"Green roofs serve to return back to nature a part of what has been taken up by building 
development and infrastructure.","{'entities': [(0, 11, 'SUSTECH')]}"
"A study in New York 
has found that properties rented out with a green roof were, 
on average, about 16% higher than in buildings without green 
roofs","{'entities': [(65, 75, 'SUSTECH')]}"
"The protection given by green roofs result in the extended lifetime of the 
roof resulting in less maintenance and associated costs for the owner.","{'entities': [(24, 35, 'SUSTECH')]}"
"Green roofs maintain 
relatively  constant  temperatures","{'entities': [(0, 11, 'SUSTECH')]}"
"Green roofs, through evapotranspiration, 
are  able  to  lower","{'entities': [(0, 11, 'SUSTECH')]}"
"From  experiments carried  out in  Hong Kong, it 
transpired that green roof surface temperatures were 5–11 °C cooler than the black roof's, 
and  the  green  roof–PV  system  combined  produced  4%  more  power","{'entities': [(66, 76, 'SUSTECH')]}"
"Unfortunately, in Malta, the benefits of green roofs are still not widely appreciated and this 
is  generally  due  to  a  series  of  misconceptions.","{'entities': [(41, 52, 'SUSTECH')]}"
"Typical Public and Private Benefits of Green Roofs 
Community benefits 
Aesthetic improvement 
Reduces the urban heat island effect and peak 
load energy demand","{'entities': [(39, 50, 'SUSTECH')]}"
"The need for green roof policy 

It has been established  that  green  roofs  contribute  to increasing the  well-being of urban 
dwellers  through  mitigation  and  adaptation.","{'entities': [(13, 23, 'SUSTECH')]}"
"When a green roof is constructed by a private individual, they are also providing benefits to","{'entities': [(7, 17, 'SUSTECH')]}"
"Moreover, there would be limited  examples of green roofs  to 
act as a source of reference and comparison.","{'entities': [(46, 57, 'SUSTECH')]}"
"that  relying on  the goodwill of building owners to 
install green roofs is not enough to bring about the desired change.","{'entities': [(62, 73, 'SUSTECH')]}"
"Financial incentives and 
associated policies are required to fully realise  the benefits that green roofs may provide.","{'entities': [(95, 106, 'SUSTECH')]}"
"The way green roofs are designed  affects  their performance and their ability to 
address specific issues.","{'entities': [(8, 19, 'SUSTECH')]}"
Developing green roof policy,"{'entities': [(11, 21, 'SUSTECH')]}"
2006) identifies 6 phases in establishing green roof policies.,"{'entities': [(42, 52, 'SUSTECH')]}"
"Organisations such as Green Roofs for Healthy Cities  
have  been  instrumental  in  helping","{'entities': [(22, 33, 'SUSTECH')]}"
"North  American  municipalities  in  getting  stakeholders 
together for information sessions (Green Roofs For healthy Cities, 2016).","{'entities': [(95, 106, 'SUSTECH')]}"
"It is important that the profile of green roofs is raised and this can be achieved 
through  community  meetings,","{'entities': [(36, 47, 'SUSTECH')]}"
"Community  leaders, 
design professionals, educators, NGOs and policy makers should all be engaged in support 
of green roofs.","{'entities': [(114, 125, 'SUSTECH')]}"
"holders to inform them about the problems facing urban areas and how green roofs can be 
used as a means of mitigation and/or adaptation.","{'entities': [(69, 80, 'SUSTECH')]}"
"A demonstration green roof could be used to organise information visits and 
facilitate  the  collection  of  information  regarding  various  aspects  of  the  technology.","{'entities': [(16, 26, 'SUSTECH')]}"
"overcome  scepticism  and  prove  that 
green roofs can be successfully implemented in a local context.","{'entities': [(40, 51, 'SUSTECH')]}"
"green  roof  and  the 
publication of the standard document for green roof construction in Malta.","{'entities': [(64, 74, 'SUSTECH')]}"
"so  as to push 
forward the implementation of green roofs over the whole of the Maltese territory.","{'entities': [(46, 57, 'SUSTECH')]}"
This is of importance to substantiate the theory of green roof performance.,"{'entities': [(52, 62, 'SUSTECH')]}"
"potential  and  the  storm  water 
management of green roofs in Malta.","{'entities': [(49, 60, 'SUSTECH')]}"
